name,runner_start_mode,fake_attestation,big_job,use_real_runner,target
project_verifier_client_j4_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_verifier_client_j4@project_verifier_client_j4
project_xz_tar_j5_local_direct_1,local_direct,true,false,true,project_xz_tar_j5@project_xz_tar_j5
project_xz_tar_j5_local_sandbox_1,local_sandbox,true,false,true,project_xz_tar_j5@project_xz_tar_j5
project_xz_tar_j5_enclave_direct_1,enclave_direct,false,false,true,project_xz_tar_j5@project_xz_tar_j5
project_xz_tar_j5_enclave_sandbox_1,enclave_sandbox,false,false,true,project_xz_tar_j5@project_xz_tar_j5
project_xz_tar_j5_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_xz_tar_j5@project_xz_tar_j5
project_verifier_client_j5_local_direct_1,local_direct,true,false,true,project_verifier_client_j5@project_verifier_client_j5
project_verifier_client_j5_local_sandbox_1,local_sandbox,true,false,true,project_verifier_client_j5@project_verifier_client_j5
project_verifier_client_j5_enclave_direct_1,enclave_direct,false,false,true,project_verifier_client_j5@project_verifier_client_j5
project_verifier_client_j5_enclave_sandbox_1,enclave_sandbox,false,false,true,project_verifier_client_j5@project_verifier_client_j5
project_verifier_client_j5_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_verifier_client_j5@project_verifier_client_j5
project_xz_tar_j6_local_direct_1,local_direct,true,false,true,project_xz_tar_j6@project_xz_tar_j6
project_xz_tar_j6_local_sandbox_1,local_sandbox,true,false,true,project_xz_tar_j6@project_xz_tar_j6
project_xz_tar_j6_enclave_direct_1,enclave_direct,false,false,true,project_xz_tar_j6@project_xz_tar_j6
project_xz_tar_j6_enclave_sandbox_1,enclave_sandbox,false,false,true,project_xz_tar_j6@project_xz_tar_j6
project_xz_tar_j6_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_xz_tar_j6@project_xz_tar_j6
project_verifier_client_j6_local_direct_1,local_direct,true,false,true,project_verifier_client_j6@project_verifier_client_j6
project_verifier_client_j6_local_sandbox_1,local_sandbox,true,false,true,project_verifier_client_j6@project_verifier_client_j6
project_verifier_client_j6_enclave_direct_1,enclave_direct,false,false,true,project_verifier_client_j6@project_verifier_client_j6
project_verifier_client_j6_enclave_sandbox_1,enclave_sandbox,false,false,true,project_verifier_client_j6@project_verifier_client_j6
project_verifier_client_j6_enclave_sandbox_plus_1,enclave_sandbox_plus,false,false,true,project_verifier_client_j6@project_verifier_client_j6
project_xz_tar_j7_local_direct_1,local_direct,true,false,true,project_xz_tar_j7@project_xz_tar_j7
project_xz_tar_j7_local_sandbox_1,local_sandbox,true,false,true,project_xz_tar_j7@project_xz_tar_j7
project_xz_tar_j7_enclave_direct_1,enclave_direct,false,false,true,project_xz_tar_j7@project_xz_tar_j7
project_xz_tar_j7_enclave_sandbox_1,enclave_sandbox,false,false,true,project_xz_tar_j7@project_xz_tar_j7
